Vuosi	Paaluokka/Osasto	Luku	Momentti	Alkup.talousarvio	Lisätalousarvio	Voimassaoleva talousarvio	Käytettävissä	Nettokertymä ko.vuodelta	Nettokertymä	Jäljellä	
2014	28. Valtiovarainministeriön hallinnonala	28.20. Palvelut valtioyhteisölle	28.20.09. Valtion yhteisten perustietotekniikka- ja tietojärjestelmäpalvelujen palvelukeskuksen toimintamenot	4000000	0	4000000	4000000	4000000	4000000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.20. Palvelut valtioyhteisölle	28.20.10. Valtion yhteisten perustietotekniikka- ja tietojärjestelmäpalvelujen palvelukeskuksen investointimenot	6000000	0	6000000	6000000	6000000	6000000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.30. Tilastotoimi taloudellinen tutkimus ja rekisterihallinto	28.30.01. Tilastokeskuksen toimintamenot	51454000	325000	51779000	51779000	51779000	51779000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.30. Tilastotoimi taloudellinen tutkimus ja rekisterihallinto	28.30.02. Valtion taloudellisen tutkimuskeskuksen toimintamenot	4191000	0	4191000	4191000	4191000	4191000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.30. Tilastotoimi taloudellinen tutkimus ja rekisterihallinto	28.30.03. Väestörekisterikeskuksen toimintamenot	9816000	700000	10516000	10516000	10516000	10516000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.40. Valtion alue- ja paikallishallinto	28.40.01. Aluehallintoviraston toimintamenot	57878000	716000	58594000	58594000	58594000	58594000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.40. Valtion alue- ja paikallishallinto	28.40.02. Maistraattien toimintamenot	32181000	-264000	31917000	31917000	31917000	31917000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.40. Valtion alue- ja paikallishallinto	28.40.03. Alue- ja paikallishallinnon tukitoimet	224000	0	224000	224000	224000	224000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.50. Eläkkeet ja korvaukset	28.50.15. Eläkkeet	4342620000	0	4342620000	4342620000	4330532122	52	4330532122	52	12087877	48	
2014	28. Valtiovarainministeriön hallinnonala	28.50. Eläkkeet ja korvaukset	28.50.16. Ylimääräiset eläkkeet	2200000	0	2200000	2200000	2011441	09	2011441	09	188558	91	
2014	28. Valtiovarainministeriön hallinnonala	28.50. Eläkkeet ja korvaukset	28.50.17. Muut eläkemenot	2798000	0	2798000	2798000	1805034	04	1805034	04	992965	96	
2014	28. Valtiovarainministeriön hallinnonala	28.50. Eläkkeet ja korvaukset	28.50.50. Vahingonkorvaukset	39185000	0	39185000	39185000	39411918	6	39411918	6	-226918	6	
2014	28. Valtiovarainministeriön hallinnonala	28.50. Eläkkeet ja korvaukset	28.50.63. Muiden eläkelaitosten vastattavaksi kuuluvat eläkemenot	152418000	0	152418000	152418000	147710631	21	147710631	21	4707368	79	
2014	28. Valtiovarainministeriön hallinnonala	28.50. Eläkkeet ja korvaukset	28.50.95. Muiden eläkelaitosten valtion puolesta maksamien eläkemenojen ja valtiolle maksamien ennakoiden korkomenot	24800000	0	24800000	24800000	25044322	09	25044322	09	-244322	9	
2014	28. Valtiovarainministeriön hallinnonala	28.60. Valtionhallinnon yhteiset henkilöstömenot	28.60.02. Erikseen budjetoidut palkkamenot	50000	0	50000	50000	0	0	50000	
2014	28. Valtiovarainministeriön hallinnonala	28.60. Valtionhallinnon yhteiset henkilöstömenot	28.60.03. Valtion henkilöstöjärjestelyistä aiheutuvat palkkamenot	40000	0	40000	40000	38389	44	38389	44	1610	56	
2014	28. Valtiovarainministeriön hallinnonala	28.60. Valtionhallinnon yhteiset henkilöstömenot	28.60.10. Työturvallisuuden edistäminen	900000	0	900000	900000	900000	900000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.60. Valtionhallinnon yhteiset henkilöstömenot	28.60.12. Osaamisen kehittäminen	12328000	0	12328000	12328000	12328000	12328000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.60. Valtionhallinnon yhteiset henkilöstömenot	28.60.60. Siirto Koulutusrahastolle	230000	0	230000	230000	188868	188868	41132	
2014	28. Valtiovarainministeriön hallinnonala	28.70. Valtionhallinnon kehittäminen	28.70.01. Valtion ICT:n ohjaus ja kehittäminen	11613000	-450000	11163000	11163000	11163000	11163000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.70. Valtionhallinnon kehittäminen	28.70.02. Valtion talous- henkilöstö- ja toimitilahallinnon tietojärjestelmät	8652000	0	8652000	8652000	8652000	8652000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.70. Valtionhallinnon kehittäminen	28.70.03. Kansallisen tietoalan ohjaus ja kehittäminen	13000000	0	13000000	13000000	13000000	13000000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.70. Valtionhallinnon kehittäminen	28.70.04. Yhteiskunnan elintärkeiden toimintojen tietojärjestelmien tietoturvallisuus ja varautuminen	1700000	2650000	4350000	4350000	4350000	4350000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.70. Valtionhallinnon kehittäminen	28.70.20. Tuottavuuden edistäminen	20005000	-2195000	17810000	17810000	17810000	17810000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.80. Siirrot Ahvenanmaan maakunnalle	28.80.30. Ahvenanmaan tasoitusmaksu	211206000	4605000	215811000	215811000	215807392	78	215807392	78	3607	22	
2014	28. Valtiovarainministeriön hallinnonala	28.80. Siirrot Ahvenanmaan maakunnalle	28.80.31. Verohyvitys Ahvenanmaan maakunnalle	25000000	-19700000	5300000	5300000	5278521	5278521	21479	
2014	28. Valtiovarainministeriön hallinnonala	28.80. Siirrot Ahvenanmaan maakunnalle	28.80.32. Ylimääräinen määräraha Ahvenanmaan maakunnalle	0	41000000	41000000	41000000	41000000	41000000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.80. Siirrot Ahvenanmaan maakunnalle	28.80.40. Arpajaisveron tuoton palauttaminen Ahvenanmaan maakunnalle	13000000	-1500000	11500000	11500000	11458227	46	11458227	46	41772	54	
2014	28. Valtiovarainministeriön hallinnonala	28.90. Kuntien tukeminen	28.90.20. Valtion ja kuntien yhteiset tietojärjestelmähankkeet	16995000	0	16995000	16995000	16995000	16995000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.90. Kuntien tukeminen	28.90.22. Kunta- ja palvelurakennemuutosten toteuttaminen	600000	0	600000	600000	600000	600000	0	
2014	28. Valtiovarainministeriön hallinnonala	28.90. Kuntien tukeminen	28.90.30. Valtionosuus kunnille peruspalvelujen järjestämiseen	8612665000	16874000	8629539000	8629539000	8629502931	8629502931	36069	
